set_index,jobs,machines,mode,objective,minmin_value,aco_value,improvement_percent,set_runtime_ms,minmin_makespan,aco_makespan,minmin_weighted_flow,aco_weighted_flow,minmin_weighted_tardiness,aco_weighted_tardiness,minmin_weighted_tardy_jobs,aco_weighted_tardy_jobs
0,12,3,dynamic,makespan,178.0000000000,178.0000000000,0.000000,9.241,178,178,359.9600000000,359.9600000000,20.2500000000,20.2500000000,0.7500000000,0.7500000000
1,12,3,dynamic,makespan,177.0000000000,160.0000000000,9.604520,1.909,177,160,297.9800000000,346.9200000000,115.7000000000,156.8400000000,5.7100000000,6.3600000000
2,12,3,dynamic,makespan,179.0000000000,179.0000000000,0.000000,1.336,179,179,210.3100000000,210.3100000000,26.2700000000,26.2700000000,0.3700000000,0.3700000000
3,12,3,dynamic,makespan,187.0000000000,176.0000000000,5.882353,2.276,187,176,326.1400000000,309.8900000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
4,12,3,dynamic,makespan,151.0000000000,144.0000000000,4.635762,3.816,151,144,258.9000000000,254.7800000000,74.6400000000,55.5400000000,3.3200000000,3.3200000000
5,25,3,dynamic,makespan,334.0000000000,298.0000000000,10.778443,7.468,334,298,689.9900000000,773.1600000000,321.2500000000,344.2900000000,6.3200000000,7.5300000000
6,25,3,dynamic,makespan,378.0000000000,364.0000000000,3.703704,6.663,378,364,792.0500000000,940.5100000000,84.0800000000,167.5300000000,3.2900000000,4.1700000000
7,25,3,dynamic,makespan,312.0000000000,332.0000000000,-6.410256,6.383,312,332,565.0000000000,636.8000000000,268.0500000000,300.4800000000,6.4500000000,6.7200000000
8,25,3,dynamic,makespan,331.0000000000,314.0000000000,5.135952,5.103,331,314,749.3300000000,835.1400000000,35.2000000000,0.0000000000,0.8800000000,0.0000000000
9,25,3,dynamic,makespan,329.0000000000,307.0000000000,6.686930,6.706,329,307,717.7200000000,837.5000000000,13.8800000000,39.6000000000,1.0800000000,0.8800000000
10,50,3,dynamic,makespan,623.0000000000,591.0000000000,5.136437,21.362,623,591,1814.6500000000,1613.6700000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
11,50,3,dynamic,makespan,557.0000000000,567.0000000000,-1.795332,40.142,557,567,1555.3400000000,1827.5100000000,9.5000000000,0.0000000000,0.2500000000,0.0000000000
12,50,3,dynamic,makespan,512.0000000000,512.0000000000,0.000000,13.698,512,512,1417.5300000000,1545.3400000000,58.0800000000,0.0000000000,0.4400000000,0.0000000000
13,50,3,dynamic,makespan,552.0000000000,509.0000000000,7.789855,18.887,552,509,1635.7900000000,1718.6800000000,221.2800000000,213.3000000000,4.6600000000,3.9600000000
14,50,3,dynamic,makespan,589.0000000000,560.0000000000,4.923599,21.666,589,560,1920.0500000000,1926.2600000000,126.9000000000,149.6100000000,0.5900000000,1.1300000000
15,100,3,dynamic,makespan,1222.0000000000,1189.0000000000,2.700491,64.218,1222,1189,4126.8400000000,5048.0400000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
16,100,3,dynamic,makespan,1143.0000000000,1121.0000000000,1.924759,64.357,1143,1121,3765.7900000000,4155.0700000000,1010.3000000000,1474.0700000000,17.3800000000,17.5100000000
17,100,3,dynamic,makespan,1006.0000000000,1002.0000000000,0.397614,37.339,1006,1002,3281.6200000000,3431.3800000000,1.1200000000,0.0000000000,0.1600000000,0.0000000000
18,100,3,dynamic,makespan,1117.0000000000,1127.0000000000,-0.895255,133.025,1117,1127,4686.1200000000,5054.9300000000,254.0200000000,9.3000000000,0.8900000000,0.0600000000
19,100,3,dynamic,makespan,946.0000000000,937.0000000000,0.951374,45.547,946,937,2997.3800000000,3625.2500000000,461.3900000000,491.5700000000,8.0200000000,7.4000000000
20,12,3,dynamic,makespan,196.0000000000,181.0000000000,7.653061,2.871,196,181,436.9300000000,448.0900000000,28.9100000000,17.5700000000,0.4900000000,1.3900000000
21,12,3,dynamic,makespan,170.0000000000,170.0000000000,0.000000,3.215,170,170,341.0800000000,341.0800000000,63.5500000000,63.5500000000,2.1100000000,2.1100000000
22,12,3,dynamic,makespan,162.0000000000,183.0000000000,-12.962963,2.651,162,183,234.4300000000,269.7400000000,87.5500000000,122.8600000000,4.5200000000,4.5200000000
23,12,3,dynamic,makespan,164.0000000000,159.0000000000,3.048780,2.829,164,159,254.1400000000,265.3600000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
24,12,3,dynamic,makespan,164.0000000000,164.0000000000,0.000000,2.531,164,164,300.3100000000,300.3100000000,22.3200000000,22.3200000000,0.9300000000,0.9300000000
25,25,3,dynamic,makespan,341.0000000000,358.0000000000,-4.985337,6.282,341,358,978.4000000000,918.4400000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
26,25,3,dynamic,makespan,282.0000000000,298.0000000000,-5.673759,7.164,282,298,423.4100000000,465.0800000000,50.5800000000,44.4600000000,0.7000000000,0.8000000000
27,25,3,dynamic,makespan,285.0000000000,285.0000000000,0.000000,3.308,285,285,456.3300000000,456.3300000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
28,25,3,dynamic,makespan,307.0000000000,276.0000000000,10.097720,6.830,307,276,627.9300000000,586.2300000000,8.9600000000,26.7100000000,0.9800000000,1.5500000000
