set_index,jobs,machines,mode,objective,minmin_value,aco_value,improvement_percent,set_runtime_ms,minmin_makespan,aco_makespan,minmin_weighted_flow,aco_weighted_flow,minmin_weighted_tardiness,aco_weighted_tardiness,minmin_weighted_tardy_jobs,aco_weighted_tardy_jobs
0,12,3,dynamic,weighted_flow,359.9600000000,359.9600000000,0.000000,1.021,178,178,359.9600000000,359.9600000000,20.2500000000,20.2500000000,0.7500000000,0.7500000000
1,12,3,dynamic,weighted_flow,297.9800000000,294.3300000000,1.224914,1.859,177,154,297.9800000000,294.3300000000,115.7000000000,105.6900000000,5.7100000000,6.1200000000
2,12,3,dynamic,weighted_flow,210.3100000000,210.3100000000,0.000000,1.148,179,179,210.3100000000,210.3100000000,26.2700000000,26.2700000000,0.3700000000,0.3700000000
3,12,3,dynamic,weighted_flow,326.1400000000,302.0500000000,7.386398,1.757,187,176,326.1400000000,302.0500000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
4,12,3,dynamic,weighted_flow,258.9000000000,253.7000000000,2.008497,1.488,151,144,258.9000000000,253.7000000000,74.6400000000,63.4300000000,3.3200000000,2.6300000000
5,25,3,dynamic,weighted_flow,689.9900000000,582.2300000000,15.617618,4.396,334,294,689.9900000000,582.2300000000,321.2500000000,247.3500000000,6.3200000000,5.9000000000
6,25,3,dynamic,weighted_flow,792.0500000000,680.3200000000,14.106433,4.299,378,360,792.0500000000,680.3200000000,84.0800000000,52.8400000000,3.2900000000,0.9500000000
7,25,3,dynamic,weighted_flow,565.0000000000,539.2500000000,4.557522,6.294,312,312,565.0000000000,539.2500000000,268.0500000000,227.6400000000,6.4500000000,5.6200000000
8,25,3,dynamic,weighted_flow,749.3300000000,737.2400000000,1.613441,4.248,331,328,749.3300000000,737.2400000000,35.2000000000,0.8000000000,0.8800000000,0.1600000000
9,25,3,dynamic,weighted_flow,717.7200000000,590.8700000000,17.674023,5.113,329,272,717.7200000000,590.8700000000,13.8800000000,6.1600000000,1.0800000000,0.8800000000
10,50,3,dynamic,weighted_flow,1814.6500000000,1490.8300000000,17.844763,20.064,623,583,1814.6500000000,1490.8300000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
11,50,3,dynamic,weighted_flow,1555.3400000000,1250.8400000000,19.577713,23.386,557,556,1555.3400000000,1250.8400000000,9.5000000000,9.2500000000,0.2500000000,0.2500000000
12,50,3,dynamic,weighted_flow,1417.5300000000,1341.6200000000,5.355089,13.646,512,525,1417.5300000000,1341.6200000000,58.0800000000,0.0000000000,0.4400000000,0.0000000000
13,50,3,dynamic,weighted_flow,1635.7900000000,1505.4000000000,7.971072,23.669,552,558,1635.7900000000,1505.4000000000,221.2800000000,203.4500000000,4.6600000000,3.1600000000
14,50,3,dynamic,weighted_flow,1920.0500000000,1625.4600000000,15.342830,23.126,589,559,1920.0500000000,1625.4600000000,126.9000000000,36.2500000000,0.5900000000,0.6700000000
15,100,3,dynamic,weighted_flow,4126.8400000000,3534.7100000000,14.348266,154.149,1222,1240,4126.8400000000,3534.7100000000,0.0000000000,1.0000000000,0.0000000000,0.0500000000
16,100,3,dynamic,weighted_flow,3765.7900000000,3610.2100000000,4.131404,99.466,1143,1149,3765.7900000000,3610.2100000000,1010.3000000000,1149.5900000000,17.3800000000,17.1700000000
17,100,3,dynamic,weighted_flow,3281.6200000000,2799.5800000000,14.689086,107.448,1006,1063,3281.6200000000,2799.5800000000,1.1200000000,19.4600000000,0.1600000000,0.0700000000
18,100,3,dynamic,weighted_flow,4686.1200000000,3718.0000000000,20.659309,190.397,1117,1102,4686.1200000000,3718.0000000000,254.0200000000,25.9000000000,0.8900000000,0.1400000000
19,100,3,dynamic,weighted_flow,2997.3800000000,2471.1600000000,17.555999,120.098,946,893,2997.3800000000,2471.1600000000,461.3900000000,300.6000000000,8.0200000000,8.6500000000
20,12,3,dynamic,weighted_flow,436.9300000000,436.8100000000,0.027464,9.314,196,196,436.9300000000,436.8100000000,28.9100000000,28.9100000000,0.4900000000,0.4900000000
21,12,3,dynamic,weighted_flow,341.0800000000,328.5900000000,3.661898,10.809,170,170,341.0800000000,328.5900000000,63.5500000000,50.5200000000,2.1100000000,1.5000000000
22,12,3,dynamic,weighted_flow,234.4300000000,222.1300000000,5.246769,11.158,162,162,234.4300000000,222.1300000000,87.5500000000,82.1800000000,4.5200000000,3.8900000000
23,12,3,dynamic,weighted_flow,254.1400000000,254.1400000000,0.000000,3.475,164,164,254.1400000000,254.1400000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
24,12,3,dynamic,weighted_flow,300.3100000000,300.3100000000,0.000000,3.808,164,164,300.3100000000,300.3100000000,22.3200000000,22.3200000000,0.9300000000,0.9300000000
25,25,3,dynamic,weighted_flow,978.4000000000,930.9500000000,4.849755,13.035,341,343,978.4000000000,930.9500000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
26,25,3,dynamic,weighted_flow,423.4100000000,377.6000000000,10.819300,16.445,282,344,423.4100000000,377.6000000000,50.5800000000,14.1600000000,0.7000000000,0.8100000000
27,25,3,dynamic,weighted_flow,456.3300000000,456.3300000000,0.000000,8.313,285,285,456.3300000000,456.3300000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
28,25,3,dynamic,weighted_flow,627.9300000000,642.9500000000,-2.391986,9.807,307,324,627.9300000000,642.9500000000,8.9600000000,12.5200000000,0.9800000000,0.8100000000
29,25,3,dynamic,weighted_flow,944.9900000000,908.1600000000,3.897396,9.935,344,321,944.9900000000,908.1600000000,216.1000000000,207.4600000000,3.5400000000,2.4800000000
30,50,3,dynamic,weighted_flow,1342.2000000000,1326.4700000000,1.171956,25.868,560,507,1342.2000000000,1326.4700000000,363.2500000000,239.2500000000,4.4000000000,5.2400000000
31,50,3,dynamic,weighted_flow,1644.7800000000,1476.0300000000,10.259731,18.164,577,580,1644.7800000000,1476.0300000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
32,50,3,dynamic,weighted_flow,1493.1900000000,1593.5200000000,-6.719172,28.214,528,531,1493.1900000000,1593.5200000000,117.0600000000,99.5700000000,1.3600000000,1.8800000000
33,50,3,dynamic,weighted_flow,1151.8900000000,1129.4800000000,1.945498,15.610,479,497,1151.8900000000,1129.4800000000,458.2000000000,403.5300000000,9.2000000000,10.1700000000
34,50,3,dynamic,weighted_flow,1711.3500000000,1525.7000000000,10.848161,21.868,547,593,1711.3500000000,1525.7000000000,81.9000000000,0.0000000000,0.4200000000,0.0000000000
35,100,3,dynamic,weighted_flow,4942.3500000000,3483.4300000000,29.518751,100.912,1142,1097,4942.3500000000,3483.4300000000,0.0000000000,1.1300000000,0.0000000000,0.0100000000
36,100,3,dynamic,weighted_flow,4294.1200000000,3359.6400000000,21.761851,103.460,1081,1037,4294.1200000000,3359.6400000000,545.3600000000,93.7500000000,4.0200000000,0.9300000000
