set_index,jobs,machines,mode,objective,minmin_value,aco_value,improvement_percent,set_runtime_ms,minmin_makespan,aco_makespan,minmin_weighted_flow,aco_weighted_flow,minmin_weighted_tardiness,aco_weighted_tardiness,minmin_weighted_tardy_jobs,aco_weighted_tardy_jobs
0,12,3,dynamic,weighted_tardiness,20.2500000000,32.8700000000,-62.320988,1.115,178,231,359.9600000000,389.2200000000,20.2500000000,32.8700000000,0.7500000000,1.2700000000
1,12,3,dynamic,weighted_tardiness,115.7000000000,107.7000000000,6.914434,1.861,177,181,297.9800000000,297.7800000000,115.7000000000,107.7000000000,5.7100000000,6.3600000000
2,12,3,dynamic,weighted_tardiness,26.2700000000,26.2700000000,0.000000,1.194,179,179,210.3100000000,210.3100000000,26.2700000000,26.2700000000,0.3700000000,0.3700000000
3,12,3,dynamic,weighted_tardiness,0.0000000000,0.0000000000,0.000000,2.282,187,187,326.1400000000,326.1400000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
4,12,3,dynamic,weighted_tardiness,74.6400000000,55.5400000000,25.589496,1.930,151,144,258.9000000000,254.7800000000,74.6400000000,55.5400000000,3.3200000000,3.3200000000
5,25,3,dynamic,weighted_tardiness,321.2500000000,316.2400000000,1.559533,6.841,334,343,689.9900000000,785.5200000000,321.2500000000,316.2400000000,6.3200000000,6.9700000000
6,25,3,dynamic,weighted_tardiness,84.0800000000,86.7800000000,-3.211227,5.099,378,387,792.0500000000,874.3700000000,84.0800000000,86.7800000000,3.2900000000,2.1000000000
7,25,3,dynamic,weighted_tardiness,268.0500000000,250.6600000000,6.487596,6.882,312,305,565.0000000000,649.0400000000,268.0500000000,250.6600000000,6.4500000000,6.5000000000
8,25,3,dynamic,weighted_tardiness,35.2000000000,0.0000000000,100.000000,4.233,331,328,749.3300000000,811.5000000000,35.2000000000,0.0000000000,0.8800000000,0.0000000000
9,25,3,dynamic,weighted_tardiness,13.8800000000,3.4000000000,75.504323,5.026,329,303,717.7200000000,720.7400000000,13.8800000000,3.4000000000,1.0800000000,0.2000000000
10,50,3,dynamic,weighted_tardiness,0.0000000000,0.0000000000,0.000000,21.495,623,623,1814.6500000000,1814.6500000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
11,50,3,dynamic,weighted_tardiness,9.5000000000,0.0000000000,100.000000,24.399,557,538,1555.3400000000,1567.4100000000,9.5000000000,0.0000000000,0.2500000000,0.0000000000
12,50,3,dynamic,weighted_tardiness,58.0800000000,0.0000000000,100.000000,15.892,512,528,1417.5300000000,1736.6700000000,58.0800000000,0.0000000000,0.4400000000,0.0000000000
13,50,3,dynamic,weighted_tardiness,221.2800000000,117.4900000000,46.904375,17.201,552,514,1635.7900000000,1737.1800000000,221.2800000000,117.4900000000,4.6600000000,3.6900000000
14,50,3,dynamic,weighted_tardiness,126.9000000000,0.0000000000,100.000000,14.172,589,595,1920.0500000000,2002.4300000000,126.9000000000,0.0000000000,0.5900000000,0.0000000000
15,100,3,dynamic,weighted_tardiness,0.0000000000,0.0000000000,0.000000,43.580,1222,1222,4126.8400000000,4126.8400000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
16,100,3,dynamic,weighted_tardiness,1010.3000000000,862.3000000000,14.649114,55.451,1143,1173,3765.7900000000,4654.0700000000,1010.3000000000,862.3000000000,17.3800000000,16.8800000000
17,100,3,dynamic,weighted_tardiness,1.1200000000,0.0000000000,100.000000,30.927,1006,1006,3281.6200000000,3357.3600000000,1.1200000000,0.0000000000,0.1600000000,0.0000000000
18,100,3,dynamic,weighted_tardiness,254.0200000000,0.0000000000,100.000000,82.079,1117,1156,4686.1200000000,5049.1400000000,254.0200000000,0.0000000000,0.8900000000,0.0000000000
19,100,3,dynamic,weighted_tardiness,461.3900000000,277.3700000000,39.883829,41.443,946,957,2997.3800000000,3239.1300000000,461.3900000000,277.3700000000,8.0200000000,6.3300000000
20,12,3,dynamic,weighted_tardiness,28.9100000000,17.1200000000,40.781736,2.735,196,181,436.9300000000,430.9900000000,28.9100000000,17.1200000000,0.4900000000,0.9400000000
21,12,3,dynamic,weighted_tardiness,63.5500000000,50.5200000000,20.503541,2.696,170,170,341.0800000000,328.5900000000,63.5500000000,50.5200000000,2.1100000000,1.5000000000
22,12,3,dynamic,weighted_tardiness,87.5500000000,82.1800000000,6.133638,2.461,162,162,234.4300000000,222.1300000000,87.5500000000,82.1800000000,4.5200000000,3.8900000000
23,12,3,dynamic,weighted_tardiness,0.0000000000,0.0000000000,0.000000,2.717,164,164,254.1400000000,254.1400000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
