set_index,jobs,machines,mode,objective,minmin_value,aco_value,improvement_percent,minmin_makespan,aco_makespan,minmin_weighted_flow,aco_weighted_flow,minmin_weighted_tardiness,aco_weighted_tardiness,minmin_weighted_tardy_jobs,aco_weighted_tardy_jobs
0,12,3,dynamic,weighted_tardy_jobs,0.7500000000,0.7500000000,0.000000,178,178,359.9600000000,359.9600000000,20.2500000000,20.2500000000,0.7500000000,0.7500000000
1,12,3,dynamic,weighted_tardy_jobs,5.7100000000,5.4700000000,4.203152,177,177,297.9800000000,297.3500000000,115.7000000000,116.5100000000,5.7100000000,5.4700000000
2,12,3,dynamic,weighted_tardy_jobs,0.3700000000,0.3700000000,0.000000,179,179,210.3100000000,210.3100000000,26.2700000000,26.2700000000,0.3700000000,0.3700000000
3,12,3,dynamic,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,187,187,326.1400000000,326.1400000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
4,12,3,dynamic,weighted_tardy_jobs,3.3200000000,2.6300000000,20.783133,151,191,258.9000000000,310.1000000000,74.6400000000,125.8400000000,3.3200000000,2.6300000000
5,25,3,dynamic,weighted_tardy_jobs,6.3200000000,4.9300000000,21.993671,334,331,689.9900000000,603.7900000000,321.2500000000,246.9200000000,6.3200000000,4.9300000000
6,25,3,dynamic,weighted_tardy_jobs,3.2900000000,1.2100000000,63.221884,378,382,792.0500000000,831.0500000000,84.0800000000,110.4400000000,3.2900000000,1.2100000000
7,25,3,dynamic,weighted_tardy_jobs,6.4500000000,5.1400000000,20.310078,312,312,565.0000000000,585.5100000000,268.0500000000,265.1000000000,6.4500000000,5.1400000000
8,25,3,dynamic,weighted_tardy_jobs,0.8800000000,0.8800000000,0.000000,331,331,749.3300000000,749.3300000000,35.2000000000,35.2000000000,0.8800000000,0.8800000000
9,25,3,dynamic,weighted_tardy_jobs,1.0800000000,0.0000000000,100.000000,329,288,717.7200000000,739.5000000000,13.8800000000,0.0000000000,1.0800000000,0.0000000000
10,50,3,dynamic,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,623,623,1814.6500000000,1814.6500000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
11,50,3,dynamic,weighted_tardy_jobs,0.2500000000,0.0000000000,100.000000,557,538,1555.3400000000,1567.4100000000,9.5000000000,0.0000000000,0.2500000000,0.0000000000
12,50,3,dynamic,weighted_tardy_jobs,0.4400000000,0.0000000000,100.000000,512,528,1417.5300000000,1731.6800000000,58.0800000000,0.0000000000,0.4400000000,0.0000000000
13,50,3,dynamic,weighted_tardy_jobs,4.6600000000,3.2000000000,31.330472,552,529,1635.7900000000,1718.8600000000,221.2800000000,139.4000000000,4.6600000000,3.2000000000
14,50,3,dynamic,weighted_tardy_jobs,0.5900000000,0.0000000000,100.000000,589,595,1920.0500000000,1950.8900000000,126.9000000000,0.0000000000,0.5900000000,0.0000000000
15,100,3,dynamic,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,1222,1222,4126.8400000000,4126.8400000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
16,100,3,dynamic,weighted_tardy_jobs,17.3800000000,15.2700000000,12.140391,1143,1109,3765.7900000000,3938.4600000000,1010.3000000000,1193.2300000000,17.3800000000,15.2700000000
17,100,3,dynamic,weighted_tardy_jobs,0.1600000000,0.0000000000,100.000000,1006,1006,3281.6200000000,3357.3600000000,1.1200000000,0.0000000000,0.1600000000,0.0000000000
18,100,3,dynamic,weighted_tardy_jobs,0.8900000000,0.7500000000,15.730337,1117,1159,4686.1200000000,4885.3000000000,254.0200000000,296.2500000000,0.8900000000,0.7500000000
19,100,3,dynamic,weighted_tardy_jobs,8.0200000000,7.4400000000,7.231920,946,940,2997.3800000000,3058.9500000000,461.3900000000,310.3400000000,8.0200000000,7.4400000000
20,12,3,dynamic,weighted_tardy_jobs,0.4900000000,0.4900000000,0.000000,196,196,436.9300000000,436.9300000000,28.9100000000,28.9100000000,0.4900000000,0.4900000000
21,12,3,dynamic,weighted_tardy_jobs,2.1100000000,1.3900000000,34.123223,170,185,341.0800000000,336.3700000000,63.5500000000,63.1100000000,2.1100000000,1.3900000000
22,12,3,dynamic,weighted_tardy_jobs,4.5200000000,3.8900000000,13.938053,162,162,234.4300000000,221.1700000000,87.5500000000,81.2200000000,4.5200000000,3.8900000000
23,12,3,dynamic,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,164,164,254.1400000000,254.1400000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
24,12,3,dynamic,weighted_tardy_jobs,0.9300000000,0.9300000000,0.000000,164,164,300.3100000000,300.3100000000,22.3200000000,22.3200000000,0.9300000000,0.9300000000
25,25,3,dynamic,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,341,341,978.4000000000,978.4000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
26,25,3,dynamic,weighted_tardy_jobs,0.7000000000,0.6200000000,11.428571,282,300,423.4100000000,471.4700000000,50.5800000000,57.6600000000,0.7000000000,0.6200000000
27,25,3,dynamic,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,285,285,456.3300000000,456.3300000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
28,25,3,dynamic,weighted_tardy_jobs,0.9800000000,0.2700000000,72.448980,307,311,627.9300000000,598.0300000000,8.9600000000,5.6700000000,0.9800000000,0.2700000000
29,25,3,dynamic,weighted_tardy_jobs,3.5400000000,2.4800000000,29.943503,344,353,944.9900000000,973.3300000000,216.1000000000,213.2500000000,3.5400000000,2.4800000000
30,50,3,dynamic,weighted_tardy_jobs,4.4000000000,5.4400000000,-23.636364,560,527,1342.2000000000,1594.6300000000,363.2500000000,324.0600000000,4.4000000000,5.4400000000
31,50,3,dynamic,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,577,577,1644.7800000000,1644.7800000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
32,50,3,dynamic,weighted_tardy_jobs,1.3600000000,0.0000000000,100.000000,528,526,1493.1900000000,1608.0000000000,117.0600000000,0.0000000000,1.3600000000,0.0000000000
33,50,3,dynamic,weighted_tardy_jobs,9.2000000000,8.3900000000,8.804348,479,538,1151.8900000000,1385.3900000000,458.2000000000,534.2600000000,9.2000000000,8.3900000000
34,50,3,dynamic,weighted_tardy_jobs,0.4200000000,0.0000000000,100.000000,547,594,1711.3500000000,1697.7000000000,81.9000000000,0.0000000000,0.4200000000,0.0000000000
35,100,3,dynamic,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,1142,1142,4942.3500000000,4942.3500000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
36,100,3,dynamic,weighted_tardy_jobs,4.0200000000,1.2300000000,69.402985,1081,1067,4294.1200000000,4188.1100000000,545.3600000000,202.0000000000,4.0200000000,1.2300000000
37,100,3,dynamic,weighted_tardy_jobs,7.2300000000,6.8000000000,5.947441,1037,1088,4502.3600000000,5287.1900000000,803.7800000000,785.2500000000,7.2300000000,6.8000000000
38,100,3,dynamic,weighted_tardy_jobs,16.6500000000,15.6200000000,6.186186,1053,1053,3243.2500000000,3221.3200000000,1131.1200000000,1008.7800000000,16.6500000000,15.6200000000
39,100,3,dynamic,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,1131,1131,3877.4100000000,3877.4100000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
40,12,6,dynamic,weighted_tardy_jobs,0.6500000000,0.6500000000,0.000000,97,97,218.3100000000,218.3100000000,0.6500000000,0.6500000000,0.6500000000,0.6500000000
41,12,6,dynamic,weighted_tardy_jobs,1.4500000000,1.4500000000,0.000000,108,108,138.0800000000,138.0800000000,32.4700000000,32.4700000000,1.4500000000,1.4500000000
42,12,6,dynamic,weighted_tardy_jobs,5.3900000000,5.3900000000,0.000000,132,132,276.0900000000,276.0900000000,199.7800000000,199.7800000000,5.3900000000,5.3900000000
43,12,6,dynamic,weighted_tardy_jobs,4.3400000000,4.3400000000,0.000000,142,142,307.3800000000,307.3800000000,141.6900000000,141.6900000000,4.3400000000,4.3400000000
44,12,6,dynamic,weighted_tardy_jobs,6.6900000000,6.6900000000,0.000000,156,156,298.0500000000,298.0500000000,214.3800000000,214.3800000000,6.6900000000,6.6900000000
