set_index,jobs,machines,mode,objective,minmin_value,aco_value,improvement_percent,set_runtime_ms,minmin_makespan,aco_makespan,minmin_weighted_flow,aco_weighted_flow,minmin_weighted_tardiness,aco_weighted_tardiness,minmin_weighted_tardy_jobs,aco_weighted_tardy_jobs
0,12,3,static,makespan,162.0000000000,161.0000000000,0.617284,3.481,162,161,241.1800000000,386.0800000000,0.0000000000,64.5900000000,0.0000000000,1.1100000000
1,12,3,static,makespan,147.0000000000,147.0000000000,0.000000,3.699,147,147,237.1800000000,237.1800000000,91.5300000000,91.5300000000,3.6400000000,3.6400000000
2,12,3,static,makespan,115.0000000000,115.0000000000,0.000000,3.784,115,115,136.3400000000,136.3400000000,2.5900000000,2.5900000000,0.3700000000,0.3700000000
3,12,3,static,makespan,180.0000000000,180.0000000000,0.000000,3.766,180,180,351.9800000000,351.9800000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
4,12,3,static,makespan,180.0000000000,150.0000000000,16.666667,3.928,180,150,144.0700000000,230.3600000000,36.0000000000,62.6300000000,1.0200000000,1.5200000000
5,25,3,static,makespan,362.0000000000,343.0000000000,5.248619,12.363,362,343,632.8600000000,621.9700000000,348.0300000000,335.7600000000,5.2200000000,5.2500000000
6,25,3,static,makespan,389.0000000000,362.0000000000,6.940874,11.809,389,362,781.6700000000,754.0600000000,161.6500000000,132.8500000000,2.5200000000,2.5200000000
7,25,3,static,makespan,342.0000000000,329.0000000000,3.801170,12.128,342,329,753.9700000000,742.4200000000,514.4900000000,499.0400000000,5.1400000000,5.1400000000
8,25,3,static,makespan,337.0000000000,312.0000000000,7.418398,11.848,337,312,709.2900000000,650.9200000000,7.0400000000,18.4800000000,0.8800000000,0.8800000000
9,25,3,static,makespan,354.0000000000,333.0000000000,5.932203,13.039,354,333,515.9200000000,528.3900000000,38.0700000000,49.4000000000,1.1300000000,1.4000000000
10,50,3,static,makespan,641.0000000000,619.0000000000,3.432137,40.329,641,619,1578.8200000000,1681.2000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
11,50,3,static,makespan,601.0000000000,594.0000000000,1.164725,42.758,601,594,1375.1100000000,1417.8700000000,17.7500000000,17.7500000000,0.2500000000,0.2500000000
12,50,3,static,makespan,555.0000000000,555.0000000000,0.000000,43.391,555,555,1276.6200000000,1276.6200000000,60.2800000000,60.2800000000,0.4400000000,0.4400000000
13,50,3,static,makespan,597.0000000000,555.0000000000,7.035176,41.433,597,555,1328.1100000000,1342.1300000000,338.6200000000,350.0600000000,3.3500000000,3.3500000000
14,50,3,static,makespan,666.0000000000,665.0000000000,0.150150,40.840,666,665,2649.6900000000,2707.9900000000,437.5500000000,404.1100000000,2.1000000000,2.1000000000
15,100,3,static,makespan,1268.0000000000,1257.0000000000,0.867508,150.807,1268,1257,4430.9100000000,4598.7500000000,17.1700000000,17.1700000000,0.1700000000,0.1700000000
16,100,3,static,makespan,1244.0000000000,1228.0000000000,1.286174,149.699,1244,1228,4560.3200000000,4897.2900000000,1353.6500000000,1472.1700000000,17.7900000000,19.0500000000
17,100,3,static,makespan,1148.0000000000,1138.0000000000,0.871080,209.356,1148,1138,4246.2400000000,4453.4300000000,238.9300000000,264.4300000000,3.1300000000,3.1300000000
18,100,3,static,makespan,1266.0000000000,1260.0000000000,0.473934,157.720,1266,1260,6515.9800000000,6611.2300000000,796.9900000000,799.4500000000,2.5400000000,2.5400000000
19,100,3,static,makespan,1079.0000000000,1079.0000000000,0.000000,188.422,1079,1079,4736.3200000000,4736.3200000000,874.2000000000,874.2000000000,7.3500000000,7.3500000000
20,12,3,static,makespan,170.0000000000,156.0000000000,8.235294,5.037,170,156,265.1300000000,262.5300000000,0.9000000000,9.3100000000,0.4500000000,0.4900000000
21,12,3,static,makespan,155.0000000000,155.0000000000,0.000000,4.584,155,155,283.5600000000,283.5600000000,61.3400000000,61.3400000000,1.8100000000,1.8100000000
22,12,3,static,makespan,171.0000000000,139.0000000000,18.713450,6.894,171,139,231.2400000000,194.8400000000,115.1100000000,81.6100000000,1.2900000000,1.6800000000
23,12,3,static,makespan,147.0000000000,147.0000000000,0.000000,6.789,147,147,166.0100000000,166.0100000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
24,12,3,static,makespan,201.0000000000,164.0000000000,18.407960,7.341,201,164,297.0200000000,260.2300000000,56.7300000000,22.3200000000,0.9300000000,0.9300000000
25,25,3,static,makespan,342.0000000000,321.0000000000,6.140351,21.858,342,321,693.0900000000,718.1200000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
26,25,3,static,makespan,278.0000000000,278.0000000000,0.000000,20.013,278,278,308.5700000000,308.5700000000,48.1800000000,48.1800000000,0.7000000000,0.7000000000
27,25,3,static,makespan,278.0000000000,278.0000000000,0.000000,20.604,278,278,523.8200000000,523.8200000000,6.3000000000,6.3000000000,0.9000000000,0.9000000000
28,25,3,static,makespan,294.0000000000,281.0000000000,4.421769,47.498,294,281,525.6000000000,547.4500000000,4.9700000000,0.0000000000,0.7100000000,0.0000000000
29,25,3,static,makespan,339.0000000000,339.0000000000,0.000000,21.782,339,339,943.2000000000,943.2000000000,241.7200000000,241.7200000000,4.1100000000,4.1100000000
30,50,3,static,makespan,614.0000000000,614.0000000000,0.000000,58.677,614,614,1914.8700000000,1914.8700000000,897.6300000000,897.6300000000,5.0800000000,5.0800000000
31,50,3,static,makespan,567.0000000000,555.0000000000,2.116402,43.545,567,555,1610.6500000000,1603.7900000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
32,50,3,static,makespan,537.0000000000,537.0000000000,0.000000,42.141,537,537,1517.6100000000,1517.6100000000,181.2900000000,181.2900000000,2.0100000000,2.0100000000
33,50,3,static,makespan,572.0000000000,572.0000000000,0.000000,43.199,572,572,1090.0400000000,1090.0400000000,594.6600000000,594.6600000000,9.2500000000,9.2500000000
34,50,3,static,makespan,616.0000000000,599.0000000000,2.759740,41.737,616,599,1617.3600000000,1646.3800000000,187.9200000000,163.7700000000,1.1100000000,1.1100000000
35,100,3,static,makespan,1232.0000000000,1232.0000000000,0.000000,154.654,1232,1232,5925.5500000000,5925.5500000000,157.2200000000,157.2200000000,2.2300000000,2.2300000000
36,100,3,static,makespan,1114.0000000000,1097.0000000000,1.526032,210.071,1114,1097,3549.7200000000,3574.0500000000,608.8500000000,629.4600000000,3.5900000000,3.5900000000
37,100,3,static,makespan,1133.0000000000,1126.0000000000,0.617829,171.377,1133,1126,5307.1200000000,5225.7200000000,2081.1600000000,2019.7800000000,8.3400000000,8.3400000000
38,100,3,static,makespan,1174.0000000000,1148.0000000000,2.214651,151.735,1174,1148,4124.9700000000,4177.7000000000,1598.0800000000,1588.6800000000,17.0600000000,17.4700000000
39,100,3,static,makespan,1216.0000000000,1203.0000000000,1.069079,150.092,1216,1203,4501.5600000000,4797.3400000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
40,12,6,static,makespan,86.0000000000,67.0000000000,22.093023,8.985,86,67,182.7200000000,184.1400000000,5.2100000000,0.0000000000,1.5200000000,0.0000000000
41,12,6,static,makespan,94.0000000000,92.0000000000,2.127660,8.852,94,92,96.8100000000,110.7900000000,5.4000000000,11.3300000000,0.4500000000,1.0200000000
42,12,6,static,makespan,98.0000000000,86.0000000000,12.244898,8.294,98,86,173.0200000000,159.9400000000,105.2800000000,88.3800000000,3.6200000000,3.6400000000
43,12,6,static,makespan,86.0000000000,83.0000000000,3.488372,8.624,86,83,162.2200000000,224.4000000000,71.8000000000,126.9400000000,2.5800000000,3.3000000000
44,12,6,static,makespan,116.0000000000,93.0000000000,19.827586,8.530,116,93,166.1800000000,164.7600000000,104.6900000000,103.2700000000,4.3700000000,4.3700000000
45,25,6,static,makespan,120.0000000000,120.0000000000,0.000000,24.217,120,120,182.4600000000,182.4600000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
46,25,6,static,makespan,160.0000000000,146.0000000000,8.750000,25.004,160,146,272.5300000000,347.2300000000,17.0000000000,11.8400000000,0.1700000000,0.4500000000
