set_index,jobs,machines,mode,objective,minmin_value,aco_value,improvement_percent,minmin_makespan,aco_makespan,minmin_weighted_flow,aco_weighted_flow,minmin_weighted_tardiness,aco_weighted_tardiness,minmin_weighted_tardy_jobs,aco_weighted_tardy_jobs
0,12,3,static,weighted_flow,241.1800000000,238.6900000000,1.032424,162,162,241.1800000000,238.6900000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1,12,3,static,weighted_flow,237.1800000000,237.1800000000,0.000000,147,147,237.1800000000,237.1800000000,91.5300000000,91.5300000000,3.6400000000,3.6400000000
2,12,3,static,weighted_flow,136.3400000000,136.3400000000,0.000000,115,115,136.3400000000,136.3400000000,2.5900000000,2.5900000000,0.3700000000,0.3700000000
3,12,3,static,weighted_flow,351.9800000000,334.9600000000,4.835502,180,180,351.9800000000,334.9600000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
4,12,3,static,weighted_flow,144.0700000000,134.8800000000,6.378844,180,166,144.0700000000,134.8800000000,36.0000000000,35.7300000000,1.0200000000,1.0200000000
5,25,3,static,weighted_flow,632.8600000000,605.3400000000,4.348513,362,343,632.8600000000,605.3400000000,348.0300000000,333.8200000000,5.2200000000,5.7400000000
6,25,3,static,weighted_flow,781.6700000000,723.5900000000,7.430246,389,362,781.6700000000,723.5900000000,161.6500000000,122.7700000000,2.5200000000,2.5200000000
7,25,3,static,weighted_flow,753.9700000000,729.9700000000,3.183151,342,327,753.9700000000,729.9700000000,514.4900000000,490.0400000000,5.1400000000,5.1400000000
8,25,3,static,weighted_flow,709.2900000000,650.9200000000,8.229356,337,312,709.2900000000,650.9200000000,7.0400000000,18.4800000000,0.8800000000,0.8800000000
9,25,3,static,weighted_flow,515.9200000000,515.9200000000,0.000000,354,354,515.9200000000,515.9200000000,38.0700000000,38.0700000000,1.1300000000,1.1300000000
10,50,3,static,weighted_flow,1578.8200000000,1554.0300000000,1.570160,641,630,1578.8200000000,1554.0300000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
