set_index,jobs,machines,mode,objective,minmin_value,aco_value,improvement_percent,set_runtime_ms,minmin_makespan,aco_makespan,minmin_weighted_flow,aco_weighted_flow,minmin_weighted_tardiness,aco_weighted_tardiness,minmin_weighted_tardy_jobs,aco_weighted_tardy_jobs
0,12,3,static,weighted_tardiness,0.0000000000,0.0000000000,0.000000,3.463,162,162,241.1800000000,241.1800000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1,12,3,static,weighted_tardiness,91.5300000000,91.5300000000,0.000000,3.343,147,147,237.1800000000,237.1800000000,91.5300000000,91.5300000000,3.6400000000,3.6400000000
2,12,3,static,weighted_tardiness,2.5900000000,0.0000000000,100.000000,3.514,115,121,136.3400000000,160.1300000000,2.5900000000,0.0000000000,0.3700000000,0.0000000000
3,12,3,static,weighted_tardiness,0.0000000000,0.0000000000,0.000000,3.677,180,180,351.9800000000,351.9800000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
4,12,3,static,weighted_tardiness,36.0000000000,32.4900000000,9.750000,3.606,180,160,144.0700000000,207.5600000000,36.0000000000,32.4900000000,1.0200000000,1.0200000000
5,25,3,static,weighted_tardiness,348.0300000000,325.8200000000,6.381634,11.467,362,343,632.8600000000,621.3500000000,348.0300000000,325.8200000000,5.2200000000,5.7400000000
6,25,3,static,weighted_tardiness,161.6500000000,122.7700000000,24.051964,11.589,389,362,781.6700000000,723.5900000000,161.6500000000,122.7700000000,2.5200000000,2.5200000000
7,25,3,static,weighted_tardiness,514.4900000000,490.0400000000,4.752279,11.735,342,327,753.9700000000,729.9700000000,514.4900000000,490.0400000000,5.1400000000,5.1400000000
8,25,3,static,weighted_tardiness,7.0400000000,0.0000000000,100.000000,12.125,337,346,709.2900000000,746.7900000000,7.0400000000,0.0000000000,0.8800000000,0.0000000000
9,25,3,static,weighted_tardiness,38.0700000000,25.3200000000,33.490938,11.830,354,354,515.9200000000,526.3100000000,38.0700000000,25.3200000000,1.1300000000,1.1300000000
10,50,3,static,weighted_tardiness,0.0000000000,0.0000000000,0.000000,43.412,641,641,1578.8200000000,1578.8200000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
11,50,3,static,weighted_tardiness,17.7500000000,0.0000000000,100.000000,42.473,601,701,1375.1100000000,1506.7500000000,17.7500000000,0.0000000000,0.2500000000,0.0000000000
12,50,3,static,weighted_tardiness,60.2800000000,20.2400000000,66.423358,42.529,555,645,1276.6200000000,1661.5100000000,60.2800000000,20.2400000000,0.4400000000,0.4400000000
13,50,3,static,weighted_tardiness,338.6200000000,283.2200000000,16.360522,42.966,597,581,1328.1100000000,1357.8400000000,338.6200000000,283.2200000000,3.3500000000,3.3500000000
14,50,3,static,weighted_tardiness,437.5500000000,343.5200000000,21.490115,42.505,666,783,2649.6900000000,3050.3300000000,437.5500000000,343.5200000000,2.1000000000,2.1000000000
15,100,3,static,weighted_tardiness,17.1700000000,10.2300000000,40.419336,176.151,1268,1398,4430.9100000000,5140.9700000000,17.1700000000,10.2300000000,0.1700000000,0.3100000000
16,100,3,static,weighted_tardiness,1353.6500000000,1239.6500000000,8.421675,237.414,1244,1220,4560.3200000000,4570.7400000000,1353.6500000000,1239.6500000000,17.7900000000,18.5500000000
17,100,3,static,weighted_tardiness,238.9300000000,205.7800000000,13.874357,155.064,1148,1129,4246.2400000000,4262.4900000000,238.9300000000,205.7800000000,3.1300000000,3.1300000000
18,100,3,static,weighted_tardiness,796.9900000000,612.1400000000,23.193516,156.307,1266,1358,6515.9800000000,6591.8600000000,796.9900000000,612.1400000000,2.5400000000,2.6300000000
19,100,3,static,weighted_tardiness,874.2000000000,790.9000000000,9.528712,158.069,1079,1175,4736.3200000000,5896.2500000000,874.2000000000,790.9000000000,7.3500000000,7.3500000000
20,12,3,static,weighted_tardiness,0.9000000000,0.9000000000,0.000000,7.456,170,170,265.1300000000,265.1300000000,0.9000000000,0.9000000000,0.4500000000,0.4500000000
21,12,3,static,weighted_tardiness,61.3400000000,58.9000000000,3.977828,7.285,155,161,283.5600000000,270.1400000000,61.3400000000,58.9000000000,1.8100000000,1.0500000000
22,12,3,static,weighted_tardiness,115.1100000000,70.0300000000,39.162540,7.675,171,158,231.2400000000,205.0400000000,115.1100000000,70.0300000000,1.2900000000,2.4600000000
23,12,3,static,weighted_tardiness,0.0000000000,0.0000000000,0.000000,7.088,147,147,166.0100000000,166.0100000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
24,12,3,static,weighted_tardiness,56.7300000000,2.7900000000,95.081967,9.750,201,193,297.0200000000,282.9800000000,56.7300000000,2.7900000000,0.9300000000,0.9300000000
25,25,3,static,weighted_tardiness,0.0000000000,0.0000000000,0.000000,17.150,342,342,693.0900000000,693.0900000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
26,25,3,static,weighted_tardiness,48.1800000000,25.7000000000,46.658364,17.033,278,299,308.5700000000,329.2900000000,48.1800000000,25.7000000000,0.7000000000,0.7000000000
27,25,3,static,weighted_tardiness,6.3000000000,0.0000000000,100.000000,13.748,278,330,523.8200000000,608.6100000000,6.3000000000,0.0000000000,0.9000000000,0.0000000000
28,25,3,static,weighted_tardiness,4.9700000000,0.0000000000,100.000000,13.578,294,286,525.6000000000,557.3700000000,4.9700000000,0.0000000000,0.7100000000,0.0000000000
29,25,3,static,weighted_tardiness,241.7200000000,206.5800000000,14.537481,15.001,339,350,943.2000000000,1008.3300000000,241.7200000000,206.5800000000,4.1100000000,4.7500000000
30,50,3,static,weighted_tardiness,897.6300000000,804.9500000000,10.324967,62.356,614,595,1914.8700000000,1849.4500000000,897.6300000000,804.9500000000,5.0800000000,5.1700000000
31,50,3,static,weighted_tardiness,0.0000000000,0.0000000000,0.000000,49.514,567,567,1610.6500000000,1610.6500000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
32,50,3,static,weighted_tardiness,181.2900000000,153.9300000000,15.091842,54.031,537,550,1517.6100000000,1503.8300000000,181.2900000000,153.9300000000,2.0100000000,1.7500000000
33,50,3,static,weighted_tardiness,594.6600000000,515.7100000000,13.276494,45.821,572,559,1090.0400000000,1057.9300000000,594.6600000000,515.7100000000,9.2500000000,9.2500000000
34,50,3,static,weighted_tardiness,187.9200000000,100.1400000000,46.711367,42.676,616,797,1617.3600000000,1833.9800000000,187.9200000000,100.1400000000,1.1100000000,1.6600000000
35,100,3,static,weighted_tardiness,157.2200000000,114.2500000000,27.331128,161.006,1232,1293,5925.5500000000,6040.3300000000,157.2200000000,114.2500000000,2.2300000000,2.2300000000
36,100,3,static,weighted_tardiness,608.8500000000,538.2000000000,11.603843,172.988,1114,1178,3549.7200000000,3554.4000000000,608.8500000000,538.2000000000,3.5900000000,3.5900000000
37,100,3,static,weighted_tardiness,2081.1600000000,1977.5000000000,4.980876,153.670,1133,1166,5307.1200000000,5304.4600000000,2081.1600000000,1977.5000000000,8.3400000000,9.1600000000
38,100,3,static,weighted_tardiness,1598.0800000000,1462.3800000000,8.491440,155.485,1174,1226,4124.9700000000,4433.9200000000,1598.0800000000,1462.3800000000,17.0600000000,17.4700000000
39,100,3,static,weighted_tardiness,0.0000000000,0.0000000000,0.000000,156.714,1216,1216,4501.5600000000,4501.5600000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
40,12,6,static,weighted_tardiness,5.2100000000,0.0000000000,100.000000,8.482,86,77,182.7200000000,195.6200000000,5.2100000000,0.0000000000,1.5200000000,0.0000000000
41,12,6,static,weighted_tardiness,5.4000000000,2.0000000000,62.962963,8.353,94,97,96.8100000000,96.8800000000,5.4000000000,2.0000000000,0.4500000000,0.5000000000
42,12,6,static,weighted_tardiness,105.2800000000,75.9400000000,27.868541,8.777,98,91,173.0200000000,152.2100000000,105.2800000000,75.9400000000,3.6200000000,3.3400000000
43,12,6,static,weighted_tardiness,71.8000000000,61.5900000000,14.220056,8.311,86,83,162.2200000000,154.1300000000,71.8000000000,61.5900000000,2.5800000000,1.6000000000
44,12,6,static,weighted_tardiness,104.6900000000,99.2000000000,5.244054,8.530,116,98,166.1800000000,160.6900000000,104.6900000000,99.2000000000,4.3700000000,4.3700000000
45,25,6,static,weighted_tardiness,0.0000000000,0.0000000000,0.000000,24.722,120,120,182.4600000000,182.4600000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
